group_0,group_1,group_2,group_3,group_4,group_5,group_6,group_7,group_8,group_9,group_10,group_11,group_12,group_13,group_14,group_15,group_16,group_17,group_18,group_19
6357,13839,6220,3698,6079,9089,13225,8499,5848,439,10824,1288,8635,1828,4677,234,1189,15817,12132,538
15755,6028,1546,13783,12866,5235,14818,14411,4966,6839,37,3574,2947,13611,4656,7200,4224,3618,6635,5541
3902,3531,12356,1012,3476,7026,10660,7442,10964,2909,927,384,6303,9110,7218,10376,13145,3777,12481,12656
859,10344,1349,2376,3254,7665,8830,9729,2688,5135,3040,8006,2926,15917,6721,8075,6594,10127,13896,6172
8317,3190,7751,4478,462,10198,4824,10752,15708,5235,3975,4789,3555,10172,15820,12640,10658,12666,10731,1309
4569,6902,2581,15424,16051,5951,14330,15337,9356,5469,2076,7554,13006,13261,441,10693,379,15065,8982,13198
717,12701,228,15467,16007,2227,2140,9564,15074,13064,2065,5465,5777,12018,15819,1310,1120,9849,13824,6289
3336,3045,5406,3459,90,7614,13025,4254,11199,9057,5246,1928,3130,7623,8964,12431,12820,6099,6519,7829
516,5257,2308,9170,14482,5432,14102,10887,9551,3856,5453,6466,11894,15069,2693,2900,3570,5362,3966,10721
4423,4594,8850,14378,10817,4550,2217,8471,5251,14004,3424,11655,12129,15080,10141,5080,1907,6854,13158,1079
13537,7606,11118,7738,2561,9095,668,15350,2569,10683,14620,5580,12758,7869,11724,4766,7197,6153,13343,6912
4578,5697,11199,15280,9500,14278,11741,4602,5491,3269,6306,10923,10669,9413,3568,3143,11089,12101,7327,4247
14133,4449,15059,4210,15512,1331,4297,4505,1046,12151,1739,14808,15883,12253,12906,5726,2356,3737,13272,6610
4790,13976,3326,8556,290,1743,15740,6053,9515,13092,15073,8877,1817,6115,3923,7534,10562,10563,5213,12959
6326,5371,14450,2027,14449,3855,1500,1809,187,12076,3825,7798,2131,7579,6624,9942,1901,6364,4968,14698
9975,13050,13892,15167,6490,3481,4596,8607,7595,5416,7720,15571,14476,9614,12254,6683,1892,9011,7577,4436
10540,2934,12753,7385,10627,10858,8881,2488,5296,4748,8040,7979,6276,4248,11171,4789,7464,8277,15648,4854
9606,902,4693,12410,15712,14586,2812,8700,13660,978,9292,14676,15054,13049,11618,2348,12839,10306,15682,7889
1256,10169,214,4243,14021,14016,5700,14271,11659,4539,2365,12968,14196,5506,4911,9562,11427,6747,3808,4962
3633,14379,12949,15621,5214,211,333,14633,9727,10673,10423,4935,4860,6631,9687,125,5163,11370,15186,4704
7644,13388,1784,12041,12661,9239,3901,6751,14514,9598,1872,10872,1930,9395,9305,5219,12059,2166,8742,2235
6807,3803,3264,11791,11656,10326,14230,7687,602,6640,865,4108,15612,11637,3129,4620,4885,1406,10430,12696
2547,11165,14601,14275,13675,16031,4896,15581,8773,10183,15792,12095,4761,8770,1003,15006,229,6464,5892,9624
8561,8870,13147,13860,5287,8802,5934,2424,13902,15963,13662,4979,13954,7029,15710,8390,14265,12078,7960,14024
11738,13474,13230,7999,11765,12759,2119,933,9886,1591,3315,1397,13501,14356,2515,14136,8006,9528,6377,8451
11373,12988,1821,13214,9383,1606,7980,5794,6721,13570,9824,9199,12449,11338,3397,4734,15329,9289,8943,4920
1315,6138,8322,7872,10066,15614,759,3995,6018,578,5484,9756,655,12073,5584,2322,7366,1692,13567,9496
1513,6456,6648,10716,15598,4032,5296,10322,9845,12851,6298,14237,14688,11047,15391,13272,10092,3712,14176,5491
2488,11023,5228,11446,3981,15858,7198,9022,8334,12249,11899,8983,14685,13577,13176,14778,10906,15048,2109,13134
2501,1331,10227,2120,9933,14906,15933,8790,14831,13971,3601,9829,33,1860,10249,12957,116,13314,7169,13339
14725,4456,2816,12923,13420,15273,4083,8984,13493,4188,5375,13461,1637,14027,2449,10054,4036,3596,4392,10900
204,14209,5721,13102,14723,11009,7449,7764,14308,7630,10657,10217,3149,10863,9524,11986,7237,9474,15012,4719
4943,1691,2183,504,6450,3161,11644,322,13775,15115,1653,4539,13068,1153,12177,13641,1780,8055,15319,7220
15992,11365,6285,15522,455,3479,9442,12329,5184,15499,9587,1304,7956,5734,6707,13570,14826,7012,2307,7867
9916,5651,13360,10095,13915,14589,4697,12213,1909,13682,12087,3522,4375,10490,742,11814,4181,1520,6518,11627
15730,822,5525,12720,1975,5500,556,14268,4124,11624,11555,7874,3909,11396,15558,12961,10833,11871,8641,8663
16007,2910,4808,10008,13720,1948,7665,1911,4943,147,738,7739,9180,7646,6978,1648,1086,5394,8694,7055
10388,1263,710,4575,9870,14390,15243,6095,12821,13031,10775,14283,6123,8100,4973,5473,3907,15331,7794,12667
6424,8391,8170,3516,9656,4238,9388,2710,5810,2437,11509,8507,5787,14035,14351,3971,8350,9027,11242,12141
11694,4335,6132,13035,14024,1079,1135,14469,7919,15945,4290,6634,501,5587,3004,13569,11104,14956,3369,1178
12882,12260,15433,12123,4308,7227,1786,6575,5231,931,4615,408,11549,15503,4434,3367,5761,14522,8819,15169
