group_0,group_1,group_2,group_3,group_4,group_5,group_6,group_7,group_8,group_9,group_10,group_11,group_12,group_13,group_14,group_15,group_16,group_17,group_18,group_19
6058,13371,1995,12859,24098,752,12931,13655,25876,20447,4008,15649,15979,21441,15646,24951,23715,19311,1220,16672
1613,10775,16783,23881,23614,21537,8917,152,13668,20432,16603,13908,19784,20,25231,25693,1303,17813,8460,137
8814,21544,3466,12127,7585,12919,1963,22270,10046,16422,22723,14676,9371,424,24062,8041,24284,12029,16750,15696
14132,11288,19823,21577,13980,4233,15401,16234,13852,5350,6230,4313,17077,2677,13718,18600,289,22717,6831,13585
19839,23536,17392,14570,15477,20035,21818,19863,9102,740,24257,11795,18661,12223,2854,11080,25164,11198,19713,14089
15265,19337,2524,2515,15620,19338,21992,12677,19889,3757,12457,16225,13385,18409,4625,2804,6506,16433,18924,17900
8616,13028,15780,17123,1972,8010,16052,8725,23245,12737,13037,22767,15833,4341,24879,4847,8425,10557,24456,17059
12931,15329,10111,11687,2570,2158,18859,24993,5740,19462,11337,16170,16914,1919,24252,17700,7661,7645,24687,3480
23900,7245,25131,24192,5989,88,13078,13666,17626,5082,22799,12753,24512,19294,25337,6337,9397,5627,22995,12439
23909,9864,10225,11795,6432,846,15122,9890,21942,24241,8512,20569,7462,12386,15078,20954,13358,2614,13050,18960
2167,14511,24218,21571,3227,3856,4586,14429,5667,13063,12422,19980,23770,21765,22520,21348,6098,23420,7887,10592
19927,13444,18114,8642,12810,23151,23385,17873,21440,5255,5310,14681,1470,4653,22195,3496,16760,150,22495,23523
2704,21658,24567,16708,10169,20589,12854,17906,25608,18312,17764,17402,11759,23255,14590,22449,11838,5991,16391,709
12555,3018,20809,25239,12013,13532,25261,10883,13079,23571,10728,10889,12867,23061,2119,15147,2763,19689,20909,5416
16671,16692,1188,2993,11250,18250,7121,23700,5231,14563,630,4820,25303,16016,21685,24986,12475,11804,15621,7617
3649,10866,15383,19202,12699,4778,17889,9775,21892,15383,21042,3870,5434,10236,13068,1317,13983,19990,18633,23852
9015,6810,21441,688,401,19337,19465,23644,16430,21263,13183,20124,7384,24708,15796,7183,9758,17417,21191,1808
10914,24031,17863,23688,20093,6512,15010,22325,23385,23822,22597,22872,25107,2241,2223,2527,14080,19908,18653,12117
24428,23175,5566,24600,19127,13865,6308,4560,864,12339,20341,10792,14134,25197,2795,12349,20974,3383,311,6399
