group_0,group_1,group_2,group_3,group_4,group_5,group_6,group_7,group_8,group_9,group_10,group_11,group_12,group_13,group_14,group_15,group_16,group_17,group_18,group_19
998,1093,478,565,1387,186,1057,919,376,325,1035,561,74,1371,5,142,447,704,1221,1286
731,82,846,57,1210,987,1336,1414,1420,757,452,338,1281,482,1295,1311,1344,647,780,1166
635,1344,118,616,515,7,1373,1316,438,1273,445,926,593,529,384,642,574,338,273,1324
964,730,203,2,1395,1075,494,802,492,77,284,1029,1249,480,130,1192,1056,267,1078,1419
1131,410,1388,1114,1087,373,158,298,746,767,570,599,1020,507,1017,575,217,1045,1421,1183
262,1373,462,116,473,1158,163,544,1039,673,845,296,944,1061,722,474,106,385,741,721
428,990,801,797,471,866,67,338,846,82,1029,321,192,348,1246,628,136,534,934,1148
745,1071,321,1360,280,1084,455,119,850,609,204,1339,73,607,972,625,768,696,771,359
1085,441,1193,1436,710,886,1277,64,1371,1028,426,20,919,744,1400,977,460,1399,709,973
1021,986,453,362,421,815,873,285,48,1109,1221,798,1011,450,79,175,589,824,902,1407
263,1069,1114,154,1032,369,1198,25,581,377,363,945,776,916,1209,1373,1420,142,1084,1100
5,1132,223,149,1344,421,250,179,1320,1089,209,871,1444,563,860,116,1065,740,915,343
532,499,620,1094,970,537,1417,450,445,1172,381,1406,946,11,96,1178,920,429,46,951
948,1320,941,571,92,1211,692,996,1086,312,1208,915,206,386,1443,66,293,783,864,144
222,364,777,1328,521,687,701,992,1183,345,1148,76,1392,1310,75,331,923,827,490,257
1146,1015,635,777,954,1292,547,779,1406,1373,330,667,352,683,829,1139,1398,1030,789,758
1244,1134,833,109,434,91,1133,218,1357,684,26,967,213,1038,1219,727,1262,111,646,883
1391,321,410,1032,133,497,81,16,596,423,524,759,1045,589,1264,1130,114,717,567,868
691,776,645,1215,112,29,189,1176,1447,1186,727,405,889,195,55,1151,627,599,494,1294
480,438,809,321,175,1378,205,102,1074,778,1010,129,1285,1149,1372,112,251,604,1430,1032
670,1124,836,849,569,77,597,1076,1258,1047,188,212,826,214,513,928,996,40,1059,1409
105,577,15,334,1316,850,413,740,415,908,883,388,785,239,1325,269,876,1205,335,428
992,933,1432,514,499,882,177,1032,245,768,552,843,790,227,396,737,225,274,1182,496
1319,722,879,165,1193,93,579,400,771,1110,1383,1235,317,1174,678,1209,1106,565,98,1248
898,378,304,261,368,787,1086,907,692,756,14,1425,142,306,143,883,1183,850,426,168
534,482,293,233,76,263,362,806,204,1394,836,1233,796,1263,870,384,954,1190,140,1141
31,97,1227,1088,765,141,1129,1011,1016,1196,816,236,607,960,1225,630,905,1089,914,421
1265,822,337,630,485,53,1386,738,518,506,216,394,1293,143,862,210,354,731,1265,865
443,590,513,1396,698,96,143,1281,595,492,891,64,773,1296,164,409,130,422,1446,112
372,874,1369,935,929,195,351,1399,140,1448,393,654,304,961,1349,936,672,445,973,482
913,132,559,158,58,1433,1356,17,1226,332,205,615,123,1205,893,513,1005,231,79,1113
202,532,1292,1027,1077,1030,336,1382,1343,709,46,761,159,22,795,149,412,120,785,157
81,886,992,335,60,924,106,843,309,153,401,293,458,1209,340,108,481,130,374,933
1323,1162,24,1143,1182,343,662,1418,91,348,576,1154,1027,811,596,1010,1021,922,92,445
580,259,786,613,516,977,1178,1185,706,878,157,1300,504,177,1004,779,520,502,299,1013
1151,1127,349,485,371,526,181,772,301,1126,1108,174,261,772,1080,931,937,679,668,1287
1210,867,1214,378,6,1135,892,658,819,955,240,933,1333,1414,793,238,1269,1420,391,934
756,1208,1240,1019,1272,826,637,745,102,350,709,1113,431,1262,65,72,158,747,427,125
647,394,588,403,358,446,938,198,28,662,631,863,922,234,99,729,831,30,936,1087
1137,938,237,266,394,498,304,1033,1370,391,760,1003,1142,192,229,875,544,82,869,1197
952,159,48,1231,1250,893,492,295,137,1447,796,348,254,337,709,694,1235,798,1102,1019
1026,1119,473,323,549,1148,964,128,362,337,226,271,1003,229,740,1099,547,237,886,77
576,935,110,872,646,392,15,1294,1158,1151,399,753,153,733,1384,1372,1382,306,173,472
866,1176,1257,1325,190,127,185,1122,759,236,1395,708,1358,460,1085,1015,745,714,497,154
434,1211,1385,1113,1045,678,258,882,530,581,940,718,686,1082,620,877,571,213,602,251
1448,561,209,1095,1323,352,1257,29,790,930,486,811,1438,700,825,334,1119,407,1260,298
1402,1200,1235,1410,1301,888,184,424,552,946,1017,256,1425,455,861,585,856,823,648,228
161,1319,1236,1152,21,753,57,906,1034,497,962,978,1109,1122,1036,954,775,566,910,699
335,1313,147,346,66,39,464,1112,1167,449,1232,187,1005,986,69,1076,812,623,72,361
1290,1101,738,328,601,111,721,253,798,924,673,688,469,1392,1054,763,972,243,1448,515
344,370,324,445,651,943,796,1284,121,615,1083,40,380,136,984,1413,425,324,748,849
1305,642,960,551,691,1252,1162,359,1335,842,1276,264,1282,634,284,1353,717,417,503,938
1436,205,747,488,610,839,1003,814,934,1171,849,265,478,411,635,1389,399,542,241,4
196,1178,929,787,503,755,73,975,158,787,1050,1063,714,149,1143,631,1267,732,395,243
1234,1041,245,815,614,530,991,758,714,268,1140,380,219,740,844,420,749,853,1308,1213
698,1272,479,1262,857,1024,927,42,417,162,964,1427,890,807,876,673,802,113,1176,1046
425,274,723,859,38,1101,372,722,591,824,1352,177,215,1039,1088,800,989,423,1348,872
1222,1303,1419,317,1069,760,240,114,38,1006,246,291,85,1004,1138,1238,1030,1331,431,1035
709,766,389,409,1229,1353,1004,636,911,113,220,410,721,53,943,626,719,553,368,1054
802,1128,363,513,693,430,467,117,1267,460,420,1044,35,210,952,294,442,1123,10,689
363,793,1263,195,268,172,387,624,1001,1420,627,254,493,336,209,973,99,912,643,123
809,51,1177,194,332,1007,859,60,1053,980,679,33,1447,1178,551,121,599,1081,1203,396
569,228,537,173,182,963,1284,990,1344,218,1127,1037,125,1314,863,397,716,514,1089,1139
449,1199,96,367,772,719,237,1047,626,220,830,627,1307,324,1379,1138,1380,811,342,1142
44,817,1136,383,1304,429,1281,836,455,627,416,1390,1094,842,327,872,700,368,432,22
1218,1240,1434,540,828,658,1244,482,857,1368,185,130,1009,73,1410,1036,817,758,625,523
720,1384,263,153,1261,1287,1320,410,298,259,414,633,357,852,642,558,1246,975,722,1333
1069,1047,368,644,449,951,596,653,1270,882,873,998,3,1022,609,1031,634,618,1036,238
148,111,1321,132,938,1414,703,927,408,288,1400,385,1082,131,252,616,182,1299,1406,179
264,548,522,5,709,278,993,1012,501,34,870,632,1043,1249,259,224,576,146,27,3
334,237,345,1044,619,738,451,271,83,188,1373,781,536,1195,543,639,371,583,271,1239
1407,292,305,692,316,934,405,131,710,1344,1418,580,1150,621,174,323,56,391,1123,189
681,1274,1184,424,374,994,1249,1090,722,1069,1353,1193,124,1007,464,435,939,239,1346,184
1271,361,756,749,142,506,60,622,257,784,1086,737,669,1064,288,445,959,738,662,1104
1091,1337,99,291,193,752,879,483,1221,10,100,505,1243,325,1034,738,498,952,504,503
213,967,31,86,724,1300,55,720,1423,55,1299,51,1262,1152,223,745,211,1095,1342,338
1191,878,1322,736,237,1362,751,1042,260,22,1144,334,966,165,204,1317,184,199,1236,1199
43,23,906,1372,243,1010,1193,335,371,316,956,404,935,81,816,489,138,1119,1073,100
1063,1236,119,1151,899,196,135,706,634,1164,1202,1173,974,898,1171,325,326,1338,1046,822
17,573,945,538,830,1360,732,651,155,589,359,541,663,1281,759,78,866,105,30,365
216,254,1129,1066,265,741,463,841,1229,647,99,350,260,1277,1290,413,1273,351,1142,1447
956,851,886,708,91,1350,882,290,962,944,1124,436,578,264,334,1260,398,544,1018,431
725,998,772,375,1043,935,530,429,780,712,1293,584,160,1176,622,1142,328,1034,309,821
529,721,73,851,577,918,866,786,712,411,1429,75,1226,1187,712,1425,411,1159,773,959
875,498,695,1361,883,812,1159,328,61,562,503,1218,98,75,129,829,357,951,235,40
415,194,184,605,1217,1250,25,1084,434,172,515,618,778,1292,1199,1055,1375,312,278,1124
1115,1378,564,494,119,365,416,1279,1192,148,788,31,648,359,605,822,1156,1012,1447,479
685,1085,1071,390,852,944,64,1059,1422,206,1188,408,301,734,626,959,727,212,197,32
753,1215,1259,1428,695,148,1251,401,27,975,22,1264,43,911,245,1285,120,1240,792,395
24,605,445,1353,934,150,2,1163,255,595,952,391,232,1243,987,232,1029,125,388,307
220,320,191,917,1146,754,917,112,1206,1121,388,842,992,696,550,199,209,991,738,282
1107,634,508,838,403,56,1006,486,275,326,1350,1365,784,1194,713,1177,5,753,201,199
568,470,326,76,1425,1276,814,951,98,560,1210,1132,798,847,467,418,131,649,1285,1243
308,670,494,384,942,1440,704,838,437,1082,76,1295,1288,1352,1014,168,670,1049,1177,150
1229,973,1158,44,567,410,1192,437,817,559,147,723,1377,1357,957,560,395,587,530,924
988,704,1190,560,318,792,1165,79,1396,372,268,85,766,176,817,787,410,1141,495,220
1306,177,565,160,1083,677,430,1016,1044,133,484,370,951,429,146,947,63,1229,1427,711
1183,754,11,219,958,225,1088,1201,731,145,597,623,15,937,527,328,1045,1289,781,248
1219,1172,1406,814,512,285,1016,89,1190,132,512,239,281,334,1167,1314,402,698,897,337
750,767,439,1024,78,1093,1082,686,471,1354,571,783,1120,1042,167,684,1161,1413,1038,296
1360,387,1265,1366,652,216,266,1014,601,613,831,10,19,550,1440,909,1107,942,851,856
15,382,570,960,395,975,412,467,674,972,18,792,186,481,726,1228,10,1366,1244,1413
1284,252,815,108,838,908,58,39,1324,32,1165,275,16,199,1183,339,1426,404,1155,1256
187,633,1172,1228,609,154,1108,332,218,397,120,1377,122,1444,353,457,1006,1038,208,201
707,231,555,1194,656,139,239,521,994,723,564,220,0,871,1174,991,284,1439,1187,1161
1390,1131,105,327,1430,750,1390,152,252,848,781,687,1437,379,1051,859,862,76,1422,1005
397,672,1024,710,1435,356,545,982,1197,157,473,86,1374,890,419,553,103,1055,1096,546
1015,327,1103,339,1294,1082,449,1150,1138,634,1270,1443,1015,159,951,23,270,345,1315,801
387,431,419,297,1433,258,439,1068,439,508,96,939,222,278,1162,171,769,167,1159,762
68,876,1374,601,1214,673,685,227,57,323,1201,141,861,971,1374,916,432,792,344,1172
1268,365,613,1266,705,518,1252,127,848,1050,911,649,38,604,1075,463,387,424,998,106
1261,1082,898,748,809,1370,1343,612,1385,894,336,932,460,902,1278,969,541,102,45,1048
881,1006,133,1079,7,597,1246,78,464,717,257,1084,121,1378,462,487,1256,257,787,1282
688,210,1120,1311,1161,0,1300,1095,1157,466,1024,492,738,929,1172,335,1198,388,1238,984
1038,287,808,1399,19,992,640,163,645,1119,242,796,740,815,1423,257,1128,891,269,386
1163,1001,1273,1121,1136,857,1008,1314,1069,676,547,1094,421,832,557,915,1101,737,531,584
1023,843,1228,979,483,627,285,634,898,643,357,727,1211,17,879,213,823,1006,434,532
288,211,301,363,377,648,636,923,736,656,207,782,984,1320,1441,1282,117,848,486,54
911,717,38,1083,50,663,1384,664,705,58,1222,1038,811,496,522,156,661,944,24,527
1339,902,92,349,706,592,1160,413,1304,635,688,221,225,432,447,1102,1176,948,1302,1162
156,116,943,56,1053,612,297,821,39,1213,623,486,429,853,735,891,1254,496,824,955
13,318,1203,1075,638,1256,401,1227,937,563,311,846,637,438,756,499,274,726,1194,760
1341,791,427,497,52,69,1421,46,233,689,1218,231,760,189,285,1094,1335,55,178,33
1423,330,127,898,272,1369,19,237,497,1227,1237,680,315,484,149,414,289,1046,177,1406
321,452,954,1169,1198,71,6,1192,120,938,482,952,605,828,787,715,18,322,652,259
1288,1233,228,202,1157,1397,53,945,69,338,117,1426,989,873,1185,1054,1182,904,956,1270
328,872,476,1187,853,92,1176,512,1169,1027,516,125,688,353,969,1379,1225,711,505,1307
