group_0,group_1,group_2,group_3,group_4,group_5,group_6,group_7,group_8,group_9,group_10,group_11,group_12,group_13,group_14,group_15,group_16,group_17,group_18,group_19
1081,853,883,736,824,448,1030,522,1438,364,555,1188,707,161,622,1413,171,130,430,77
1197,812,564,202,686,844,1370,439,539,249,878,1038,1196,1304,14,719,875,804,867,214
716,440,1375,610,1338,553,682,131,1313,1106,357,42,269,896,1318,903,1223,225,46,1419
753,616,934,1011,654,430,924,596,1297,102,14,1356,365,456,410,1340,68,1214,837,1059
873,756,771,1075,83,1364,30,392,626,261,739,1380,74,155,707,378,877,794,983,624
952,82,15,925,1161,1420,282,779,1416,640,255,979,1056,1387,1274,643,1190,1284,10,171
900,694,48,165,614,199,623,1332,376,259,1002,1238,732,1189,104,826,411,482,655,821
1214,330,1100,613,384,812,73,1302,1082,334,753,154,1342,103,1376,978,1392,511,1107,238
667,195,1063,488,435,1156,1217,933,437,1365,505,256,955,849,146,796,39,914,1187,1058
204,1004,657,370,1095,950,300,540,408,55,327,414,1379,1368,561,1215,740,747,1038,1391
1374,613,588,390,1015,127,19,743,146,1209,1109,807,363,990,1350,176,326,1282,1146,737
1264,953,254,83,448,466,559,934,471,113,691,201,1123,468,1223,1335,1262,102,729,575
788,497,118,719,1025,1269,810,1139,322,852,322,820,1008,545,771,462,1314,165,72,461
485,867,760,1068,102,494,486,556,486,607,1439,1273,1280,623,1048,715,577,1145,1243,653
300,581,92,1042,360,460,15,714,98,34,1070,500,128,705,1271,239,1276,113,618,912
182,1156,641,858,589,203,1411,375,1039,1131,122,668,308,966,1427,893,1306,1228,178,478
156,963,759,999,962,258,940,1380,859,497,1260,1129,1331,1238,259,603,373,1136,1207,92
188,387,1057,266,582,285,972,912,1329,664,580,1385,1354,1249,562,443,815,288,1312,732
1310,704,1284,1380,58,1259,975,561,204,1121,248,130,15,546,24,1373,0,721,1040,257
866,325,1101,57,1040,333,351,1108,842,1087,687,1202,919,1174,827,1266,1368,1413,1153,323
5,1289,147,1180,1155,764,315,654,1071,757,96,338,358,242,1102,414,1053,40,853,689
722,1025,363,931,265,748,404,435,536,1020,977,394,1159,830,1426,871,301,430,974,673
419,1329,723,515,1292,1117,1344,1288,1238,344,399,535,443,353,452,478,303,205,49,1342
328,538,836,5,1203,458,961,136,1356,649,634,1219,1106,918,937,52,5,111,1122,411
397,364,552,353,597,163,57,1336,137,1310,1013,448,658,280,409,672,812,1302,641,4
31,378,720,600,635,31,1325,437,901,643,17,723,1237,325,445,363,375,960,98,1367
1269,420,249,878,931,1316,1410,842,464,769,117,174,35,278,919,1347,120,155,402,106
1315,985,634,149,426,77,1013,387,968,736,628,1403,636,1294,252,173,158,489,541,1181
185,606,59,86,667,2,918,79,129,233,1068,986,206,537,700,1277,131,502,1002,820
892,159,913,1051,512,884,1108,990,1122,449,929,1094,987,980,1366,320,574,809,376,1017
877,493,1148,974,6,835,817,722,874,1266,1195,1322,888,267,972,844,533,762,295,1412
343,358,615,1347,657,892,509,772,712,1117,967,442,972,862,1329,161,1241,623,490,651
761,1383,1071,1376,816,671,1233,353,1010,914,810,1042,1385,762,856,323,924,1064,922,819
44,547,1310,1057,1373,305,823,166,225,1386,909,326,58,744,756,1391,1066,1351,530,897
1398,194,842,179,823,1081,405,60,834,372,9,1062,1026,559,419,544,325,464,909,40
565,361,466,1287,135,1012,180,46,1104,786,1125,75,548,828,678,1209,937,499,599,3
475,1216,1179,599,514,860,177,1324,708,658,1404,373,714,766,983,224,1292,539,1102,1215
354,1273,1332,942,370,9,818,1151,754,1326,985,1134,1182,1000,332,690,18,1015,434,741
196,419,473,1435,430,1322,567,289,760,263,120,474,1337,319,738,454,184,510,942,1152
774,422,1432,1235,875,111,1120,1138,567,281,923,1203,726,689,1114,580,727,607,926,971
1349,950,11,1083,789,436,1185,1382,844,317,631,187,273,588,278,1272,860,1032,935,695
508,1178,24,1388,21,580,1189,618,1,188,1331,441,1014,1086,77,310,252,571,1152,676
644,327,793,554,866,569,1038,42,411,687,963,1059,597,659,1173,913,1185,604,354,693
852,587,946,108,1249,843,2,450,1437,1213,742,139,1080,1255,314,689,27,1313,351,503
428,201,38,969,555,313,397,1274,564,50,1378,1052,350,176,425,16,661,367,271,451
202,250,528,1131,885,1142,194,203,1365,477,1318,348,355,684,872,450,265,507,313,1111
1112,1281,99,556,322,7,1301,785,1033,441,467,645,555,1401,739,108,361,872,179,1184
263,693,184,2,1263,752,484,1335,881,1304,131,1200,407,753,97,720,176,580,1197,777
1292,1066,1363,645,601,564,268,89,1272,788,300,191,871,1206,174,666,541,368,1402,1114
721,524,1099,337,1198,788,1040,859,1161,813,869,804,374,143,384,737,56,1386,1343,1156
671,365,962,827,997,900,1297,873,591,306,442,177,1339,1335,321,481,312,76,20,261
1360,565,1030,459,982,634,792,491,119,268,1141,1414,361,403,1236,1400,406,423,135,30
980,417,1121,63,675,216,1248,652,1229,411,466,65,1218,1226,1433,1234,674,364,1227,885
1361,962,413,194,1124,1094,455,1201,977,145,1150,280,80,560,1099,859,354,483,355,458
1085,211,1115,392,92,429,67,291,684,1394,530,334,34,930,13,263,1424,217,1148,678
657,1295,110,532,60,263,317,17,1141,482,268,308,258,620,590,116,1086,831,1037,27
43,1073,293,1419,1406,1010,1102,889,1351,165,515,657,309,1223,1310,1028,832,1101,1203,683
148,254,5,971,1048,1077,1228,323,406,1052,1319,1106,787,192,536,1261,935,451,464,426
17,1049,1204,987,441,367,1147,958,651,941,1358,197,390,284,513,1188,653,234,1210,943
919,800,31,1176,1045,475,285,398,175,953,142,846,186,625,837,420,392,740,1063,758
781,269,815,1141,125,885,661,754,1202,1231,703,68,1268,722,522,665,667,1056,372,1253
723,1186,119,978,66,446,250,333,303,625,760,1076,887,152,396,533,1141,448,1381,1247
1401,975,1080,1024,808,332,181,1423,1273,82,367,1335,626,73,1379,698,214,197,685,259
1280,1238,810,1151,981,1306,413,102,235,427,311,1413,123,1087,1106,946,1294,534,1213,367
1072,590,846,1127,676,755,1035,970,789,52,1006,588,379,928,1024,824,443,298,1138,61
1229,912,263,595,1032,1337,611,950,61,676,1181,991,1032,324,681,401,868,274,1269,35
1439,1312,0,1372,1352,1208,1390,78,474,585,1289,381,1082,40,93,537,130,1077,1041,1110
333,210,607,11,488,789,451,893,777,905,847,629,114,62,1317,1309,895,1007,342,223
1019,479,944,886,1375,115,1181,84,354,972,296,1399,232,159,1139,1079,215,300,281,1016
24,286,133,172,1270,1359,1425,66,487,133,863,1299,602,1181,1416,521,1363,838,777,909
1369,789,181,743,1379,1281,561,507,1021,1308,946,626,1430,1079,1036,685,900,1277,1191,1159
576,820,879,1430,217,620,1335,163,654,65,1321,5,19,597,936,156,947,190,148,1208
1031,1395,127,1110,929,1111,301,925,1232,114,516,265,913,100,231,795,98,612,259,1103
220,1060,434,966,268,1417,1054,112,181,1319,556,129,854,507,1272,1306,915,427,27,201
732,1015,1207,1281,1219,499,1257,1282,419,1285,1213,561,1109,0,129,1232,940,401,562,375
221,335,731,342,513,774,1366,1311,996,409,811,302,402,981,229,238,1240,213,1372,1007
530,764,392,1084,24,426,189,483,580,738,100,212,1358,1311,953,726,304,875,680,1149
988,1249,164,802,1034,341,81,114,1199,1414,1259,273,1160,1297,164,1102,45,286,185,1042
630,97,1408,328,1205,1063,127,978,836,437,783,33,1407,807,385,1401,714,714,1252,353
15,670,1277,663,243,1052,1116,463,241,1004,22,409,160,968,455,210,200,1393,1025,347
978,1377,792,306,154,1057,1354,328,477,772,680,155,1006,1114,663,754,998,1211,870,1100
1407,1163,1400,424,366,1404,1315,835,656,1135,1175,665,895,17,17,111,751,1270,418,235
704,986,515,723,1308,1406,725,555,28,1241,975,550,915,651,530,1168,803,242,518,496
272,1169,756,709,978,603,1114,992,479,1167,1206,1326,628,1062,1400,621,1345,770,788,532
1423,1437,273,1245,753,142,1155,14,561,926,983,889,1084,306,1167,1315,1062,1013,627,287
1386,1129,1216,984,631,1233,794,997,804,352,693,712,130,312,755,1135,700,1403,1298,807
381,454,539,145,923,84,1419,686,1434,561,172,543,622,704,1213,72,223,724,291,197
68,807,832,235,498,623,909,981,309,656,569,1278,261,826,279,368,218,30,465,1438
668,473,898,1088,190,777,1342,348,1398,137,393,687,1039,977,731,1128,495,376,1434,26
535,366,105,1312,553,888,780,1058,1215,444,1126,782,718,1224,958,572,708,570,973,57
449,1412,484,1349,70,227,1253,1308,578,143,147,1142,1251,769,1091,272,586,544,385,631
472,132,716,44,182,1391,249,942,723,439,922,471,652,888,1146,1129,104,696,1225,1430
265,604,178,951,16,369,703,486,671,353,493,239,740,1162,1164,738,59,1349,780,1195
218,956,382,407,213,302,456,207,1226,161,1271,172,89,810,1252,1319,417,220,217,603
557,370,503,1308,646,1243,239,496,617,466,151,1044,526,1214,473,299,1414,1209,1373,398
1193,998,680,153,1038,1056,1016,1290,1112,1186,450,367,316,136,1228,53,1043,1397,1296,445
321,846,10,731,121,69,327,619,1227,348,951,67,747,856,1425,943,1298,167,1078,920
904,612,597,1188,724,343,880,356,588,1390,388,44,578,428,1049,118,450,690,785,1087
13,596,203,1187,1157,1198,624,878,961,1148,204,673,413,751,1394,142,330,504,333,266
1381,228,801,299,901,1059,500,1025,1197,957,1415,85,67,1179,718,1436,633,699,1105,248
1414,221,708,1038,698,154,1357,1090,905,755,195,20,751,997,964,517,840,1314,972,427
1148,259,1272,633,502,1295,532,799,326,740,633,315,458,875,65,524,907,1357,503,54
876,827,520,1173,1019,715,184,793,470,1405,683,1364,1198,784,901,463,22,222,1014,98
1326,1009,876,1393,833,225,34,198,1245,206,1059,895,562,570,691,1414,1421,485,1032,1357
69,757,350,12,569,1294,157,600,48,323,469,102,0,827,99,171,1415,192,854,940
1254,1173,559,109,820,880,33,965,355,851,375,742,202,86,462,1148,866,820,1360,883
1328,1404,298,1244,344,335,143,822,865,349,486,940,366,1316,151,670,248,239,888,796
549,747,1394,295,332,516,907,296,1304,218,1113,950,222,874,538,460,706,1137,708,769
859,507,430,1279,276,875,1091,777,872,1210,806,465,498,1170,292,1321,137,1024,540,497
648,1247,209,322,1192,1284,649,796,1260,1170,699,607,1365,111,2,1212,490,1239,160,934
1382,873,1230,1035,1188,1157,24,991,460,243,130,35,73,914,1360,635,1309,146,1159,1353
1268,498,609,221,899,35,498,1319,115,533,137,380,592,1196,1185,190,1401,858,510,947
990,849,735,426,651,675,628,1106,438,95,105,1230,1301,206,204,802,108,316,811,935
446,1291,1024,759,1043,1353,409,642,1418,617,1100,436,868,1391,1338,771,576,823,923,2
890,447,321,104,623,712,284,290,607,787,441,410,566,1434,157,124,1167,1088,887,90
387,116,1398,132,674,985,974,108,875,469,432,86,702,53,357,630,390,959,1057,633
547,934,1126,158,1268,518,1111,240,862,202,827,387,1286,971,440,23,1156,120,1019,632
795,1189,448,770,1380,29,274,1054,391,413,521,989,304,496,1282,527,473,128,1131,1191
775,441,191,1398,903,889,1377,535,328,750,1334,1109,307,898,865,1031,1259,46,201,1044
1032,1254,965,914,745,1122,1088,298,1050,22,1186,678,614,1337,274,712,482,970,657,463
443,834,342,1098,402,1152,1227,119,121,525,969,696,1190,964,753,596,1311,42,741,1417
216,1023,887,360,122,328,811,571,980,627,858,892,260,1298,1111,838,1439,1022,1295,1428
1196,231,483,764,129,963,475,501,255,1296,1327,753,226,58,1260,895,204,1355,956,1056
105,51,1211,448,860,703,836,1248,293,500,1189,446,731,974,1200,620,614,7,1084,1418
159,382,956,1177,499,1401,275,85,1363,236,1425,245,909,1246,132,616,965,599,735,1183
819,1373,852,738,733,643,1292,16,805,1439,1292,418,124,984,478,313,286,82,724,381
1033,1137,494,537,595,422,885,467,566,29,1154,720,1293,571,1380,275,1087,212,630,1352
264,1280,224,344,1418,0,552,1084,495,43,67,161,404,1302,868,861,1335,178,335,919
30,470,60,327,1409,1195,658,615,1251,1091,1299,1004,1406,294,1413,1181,212,422,976,814
187,718,368,321,1278,1239,1188,723,110,1340,167,1243,1266,472,973,775,515,963,1209,414
696,368,1108,646,78,109,1312,1045,722,1054,246,294,56,1314,758,36,805,656,610,1259
1180,457,798,898,972,1282,563,152,409,1043,1250,1438,765,232,1204,998,778,907,1249,520
37,908,491,79,1081,729,64,286,1380,570,1037,503,1170,287,1107,1349,607,100,992,584
964,902,926,1436,521,1310,1299,243,195,984,233,434,278,31,1313,955,359,62,545,1219
4,848,427,1080,112,991,258,1331,705,1359,1086,1304,1037,782,432,677,121,1060,706,1146
681,1246,674,715,377,805,240,1295,242,253,819,1416,788,1301,28,884,1315,1281,242,284
489,151,301,160,457,1097,1285,828,925,1110,65,62,761,924,1423,1239,1209,1303,504,319
1004,1298,976,682,1258,239,1112,708,27,350,1251,828,372,1351,329,405,505,398,842,1287
161,1109,550,1274,464,1334,898,847,260,461,724,827,1377,379,330,588,1383,672,24,1129
1429,904,912,672,849,413,1240,1431,698,25,796,1023,973,589,29,269,182,816,664,1008
1404,321,1285,687,938,39,61,429,396,451,567,964,870,455,1057,1172,853,841,236,1108
1393,876,930,141,264,524,428,815,1339,1173,1207,108,1076,239,606,273,48,772,240,190
796,503,1067,1226,1022,352,1193,168,602,148,735,522,662,116,531,1361,496,1067,982,1105
323,1150,1014,849,1304,493,516,229,921,1169,404,153,248,349,1015,1198,284,630,491,1099
114,787,1280,329,7,447,187,39,138,142,781,427,1216,234,271,21,377,472,745,479
1023,1154,1321,1271,33,453,1305,520,573,838,1429,706,1136,270,424,1334,640,1238,1273,800
1262,145,1060,243,1345,1172,135,837,69,494,1296,695,750,897,566,1024,193,606,471,199
1297,964,1218,333,246,867,1310,910,1127,1317,584,337,127,622,300,1013,769,1233,702,685
1176,749,1188,1299,561,462,452,907,342,1158,1293,181,170,401,1328,889,239,1058,908,1081
867,1074,909,334,493,909,450,409,724,326,281,715,493,478,79,728,841,1096,220,563
420,688,360,1247,96,434,1151,850,1355,1410,853,1170,875,655,869,687,319,2,892,781
33,1182,523,560,1228,186,1266,237,1046,88,1163,627,403,670,834,1057,729,898,709,1356
334,574,228,173,567,1327,991,706,1254,1003,1288,599,472,1169,891,805,132,353,1341,771
1425,751,1141,261,169,515,1226,562,530,721,514,422,771,466,565,1302,1219,391,348,889
